,Open,High,Low,Close,Volume
2026-05-18,609.1099853515625,615.5900268554688,603.6900024414062,611.2100219726562,13772400
2026-05-19,608.9199829101562,613.9299926757812,600.5499877929688,602.6099853515625,11749900
2026-05-20,600.760009765625,608.0,597.8099975585938,605.0599975585938,11329700
2026-05-21,600.0,609.5999755859375,594.8099975585938,607.3800048828125,13476100
2026-05-22,607.8800048828125,614.8099975585938,606.9500122070312,610.260009765625,11688600
2026-05-26,608.8900146484375,614.469970703125,605.2999877929688,612.3400268554688,12234200
2026-05-27,609.4000244140625,638.5,609.0,635.260009765625,23143600
2026-05-28,639.5,643.0,629.3099975585938,635.2899780273438,16772400
2026-05-29,633.5,634.5,623.3499755859375,632.510009765625,19806500
2026-06-01,630.4000244140625,635.75,599.530029296875,600.469970703125,29138800
2026-06-02,603.239990234375,608.8800048828125,596.6799926757812,597.6300048828125,18252000
2026-06-03,603.0,624.1500244140625,600.27001953125,622.97998046875,23020100
2026-06-04,623.6699829101562,642.4000244140625,622.4299926757812,627.5700073242188,21469200
2026-06-05,623.4600219726562,629.1500244140625,582.9099731445312,593.0,30091600
2026-06-08,592.0,592.0,579.219970703125,585.3900146484375,19512400
2026-06-09,591.0,597.6300048828125,581.010009765625,584.5900268554688,16977400
2026-06-10,580.72998046875,591.3200073242188,570.5999755859375,570.97998046875,17064000
2026-06-11,565.8300170898438,572.1699829101562,557.010009765625,568.4299926757812,17628000
2026-06-12,572.9500122070312,576.0700073242188,560.9000244140625,566.97998046875,14326400
2026-06-15,579.9000244140625,601.27001953125,579.2999877929688,593.47998046875,17653300
2026-06-16,593.6500244140625,605.8099975585938,592.0,600.2100219726562,11344400
2026-06-17,592.0,593.8099975585938,566.1900024414062,567.5800170898438,20478300
2026-06-18,572.8200073242188,580.219970703125,563.0999755859375,577.219970703125,28824600
2026-06-22,572.02001953125,575.8099975585938,559.8099975585938,563.8499755859375,15405500
2026-06-23,562.25,572.2000122070312,561.02001953125,562.2000122070312,13103300
2026-06-24,561.8900146484375,569.0399780273438,555.5499877929688,557.6699829101562,13963600
2026-06-25,555.5499877929688,556.3400268554688,540.1799926757812,542.8699951171875,16968600
2026-06-26,543.3400268554688,556.8499755859375,540.4000244140625,550.25,18867700
2026-06-29,560.0,570.9000244140625,558.0,562.5999755859375,15011400
2026-06-30,560.9400024414062,565.5399780273438,551.4299926757812,563.2899780273438,18111100
2026-07-01,607.9099731445312,628.280029296875,595.0999755859375,612.9099731445312,45536300
2026-07-02,607.9000244140625,610.0,580.4199829101562,582.9000244140625,21705900
2026-07-06,594.8400268554688,603.5800170898438,581.760009765625,600.2899780273438,17674100
2026-07-07,607.5900268554688,625.3699951171875,603.6599731445312,615.5800170898438,18560800
2026-07-08,614.3900146484375,616.0,598.010009765625,603.1199951171875,13606500
2026-07-09,583.989990234375,633.27001953125,577.0700073242188,631.47998046875,26579700
2026-07-10,660.3400268554688,677.8599853515625,658.010009765625,669.2100219726562,40608900
2026-07-13,661.3800048828125,676.6199951171875,654.2000122070312,656.72998046875,19840700
2026-07-14,652.0,666.5,649.0499877929688,661.0399780273438,16748200
2026-07-15,663.5999755859375,686.0800170898438,656.6599731445312,681.3099975585938,19003400
2026-07-16,677.280029296875,681.9000244140625,660.1599731445312,664.5399780273438,15816000
2026-07-17,647.7000122070312,652.2000122070312,626.0,646.010009765625,22267900
2026-07-20,646.7000122070312,653.2999877929688,636.010009765625,645.8499755859375,10225200
2026-07-21,654.1799926757812,655.8800048828125,643.2000122070312,643.8099975585938,9140500
2026-07-22,647.7000122070312,649.0,624.0,627.1699829101562,11019600
2026-07-23,608.4099731445312,614.6500244140625,597.219970703125,606.0999755859375,15494800
2026-07-24,605.2999877929688,609.97998046875,594.4500122070312,595.1900024414062,11503500
2026-07-27,607.219970703125,611.260009765625,593.1300048828125,593.8699951171875,11195300
2026-07-28,596.8200073242188,601.0,587.0,593.4099731445312,12009300
2026-07-29,593.25,599.969970703125,582.219970703125,585.6099853515625,22371100
2026-07-30,526.0,539.8800048828125,524.489990234375,539.030029296875,42271500
2026-07-31,543.5999755859375,558.3300170898438,540.219970703125,556.7100219726562,24261500
2026-08-03,562.239990234375,597.52001953125,559.3599853515625,590.239990234375,25938100
2026-08-04,581.5,592.7899780273438,578.25,587.9400024414062,17959200
2026-08-05,600.4600219726562,601.0,580.1199951171875,588.77001953125,14897200
